Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu 2018 inflacion 2017 inconvenientes 2014 ofrecemos disculpas tasa 
 bandrespardoa uncertainty over the approval of structural tax reform in the 2nd half of 2016 could ; j : 1. Sim : 0.13900378; No similar. 
 eventosclavedelajornadademanananzona euro 400 confianza consumidornreino unido 700 decision tasa la; j : 1300. Sim : 0.23270956; No similar. 
 informe diario febrero 6 2017 sector servicios desacelera enero chinanlabelurl  ; j : 1301. Sim : 0.38560155; No similar. 
 ultimo informe inflacion unidos mostro dato acorde esperado analist labelurl  ; j : 1302. Sim : 0.38335562; No similar. 
 informe mercado noviembre 2018nndurante noviembre rentabilidad portafolios pension voluntarias labe; j : 1303. Sim : 0.3303444; No similar. 
 bancorepublica patrocina posgrados universidades extranjeras reconocida excelencia academica cursar; j : 1304. Sim : 0.19674563; No similar. 
 informe diario marzo 20 2019 feed ve incrementos anonlabelurl  ; j : 1305. Sim : 0.3533866; No similar. 
 informe diario febrero 14 2019 moodys ley financiamiento insuficientenlabelurl  ; j : 1306. Sim : 0.37749037; No similar. 
 informe diario mayo 5 2014 sector servicios eeuu fortalecio abril labelurl  ; j : 1307. Sim : 0.51093274; Baja. 
 informe diario marzo 20 2019 feed ve incrementos anonlabelurl  ; j : 1308. Sim : 0.3533866; No similar. 
 ultimo informe inflacion unidos muestra dato acorde esperado analis labelurl  ; j : 1309. Sim : 0.37432152; No similar. 
 recuperacion marchande acuerdo estimaciones economia colombiana habria expandido tasa labelurl  ; j : 1310. Sim : 0.5270356; Baja. 
 reportesdelemisor crecimiento regresado inflacion cercana meta nivel tasa cambio labelurl  ; j : 1311. Sim : 0.35893315; No similar. 
 informe mercado abrilndurante mes abril rentabilidad portafolios pension voluntarias labelurl  ; j : 1312. Sim : 0.3614491; No similar. 
 informe renta fija marzo 23 2018 mirada interior nlabelurl  ; j : 1313. Sim : 0.14027593; No similar. 
 informe diario marzo 5 2018 petroleo subio 2 tras publicacion aienlabelurl  ; j : 1314. Sim : 0.54999375; Baja. 
 joseantonioocampo senala inflacion tendencia positiva 2017 consolidara 2018 poli labelurl  ; j : 1315. Sim : 0.49687502; No similar. 
 informe semanal enero 9 2018 gestion pasiva mercado capitales colombianonlabelurl  ; j : 1316. Sim : 0.38237354; No similar. 
 eventosclavedelajornadademananan zona euro 500 inflacionncolombia reunion politica monetaria banrep; j : 1317. Sim : 0.31873548; No similar. 
 precios consumidor unidos aumentaron abril 02 linea esperado analistas labelurl  ; j : 1318. Sim : 0.23786075; No similar. 
 eventosclavedelajornadademananan zona euro 500 inflacionncolombia reunion politica monetaria banrep; j : 1319. Sim : 0.31873548; No similar. 
 top3deimpactoeconomicon1ganancias industriales chinas retroceden 18mm noviembre respecto ano pasado; j : 1320. Sim : 0.19123894; No similar. 
 andrespardoa eeuu actividad economica expandiendo ritmo moderado comunicado feed  ; j : 1321. Sim : 0.45139378; No similar. 
 top3deimpactoeconomicon1reino unido muestra signos debilidad acompanado brexit acuerdon2la infl lab; j : 1322. Sim : 0.0745481; No similar. 
 informe renta fija diciembre 26 2016 corporativos verde nlabelurl  ; j : 1323. Sim : 0.11498648; No similar. 
 gobierno china disminuyo objetivo crecimiento economico estableciendolo 6 65 meta labelurl  ; j : 1324. Sim : 0.31970665; No similar. 
 investigacionesbanrep caida precios carbon afecto negativamente dinamica mercado laboral v labelurl; j : 1325. Sim : 0.3469766; No similar. 
 eventosclavedelajornadademanananzona euro 400 produccion industrial agoneeuu 900 sentimiento eco la; j : 1326. Sim : 0.20907898; No similar. 
 bancorepublica mantuvo tasa inter referencia 45 linea expectativas mercado  ; j : 1327. Sim : 0.286387; No similar. 
 informe renta fija noviembre 28 2016 cambio plan nlabelurl  ; j : 1328. Sim : 0.20751943; No similar. 
 informe diario julio 5 2016 boe anuncia estimulo liquidez nlabelurl  ; j : 1329. Sim : 0.38921666; No similar. 
 andrespardoa colombia bancorepublica eleva tasa referencia 375 linea expectativa  ; j : 1330. Sim : 0.48568788; No similar. 
 informe diario marzo 1 2018 deficit cuenta corriente disminuyo 2017nlabelurl  ; j : 1331. Sim : 0.5008312; Baja. 
 corficolombiana informe inflacion octubre 24 2017 vuelta techo nlabelurl  ; j : 1332. Sim : 0.43163657; No similar. 
 precios consumidor unidos subieron mas previsto enero debido costos vestim labelurl  ; j : 1333. Sim : 0.18679482; No similar. 
 andrespardoa bancorepublica reduce tasa inter 625 575 linea pronostico labelurl  ; j : 1334. Sim : 0.4106072; No similar. 
 top3deimpactoeconomicon1cae actividad sector servicios eeuu minimos seis mesesn2aumenta infl labelu; j : 1335. Sim : 0.27246183; No similar. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 liquidez mercado l; j : 1336. Sim : 0.21526732; No similar. 
 encuesta nomura senala latam mas afectada triunfo trump copusd 3100 labelurl  ; j : 1337. Sim : 0.33330956; No similar. 
 reportesdelemisor 2018 economia colombiana logro relativa consolidacion recuperacion luego labelurl; j : 1338. Sim : 0.46711525; No similar. 
 bancorepublica patrocina estudios instituciones extranjeras profesionales afines artes plasticas d ; j : 1339. Sim : 0.12317499; No similar. 
 bancorepublica patrocina estudios instituciones extranjeras profesionales afines artes plasticas la; j : 1340. Sim : 0.10633523; No similar. 
 demanda interna bienes industriales factor determinante comportamiento sector manufacturero labelur; j : 1341. Sim : 0.12400708; No similar. 
 bancorepublica patrocina estudios instituciones extranjeras profesionales afines artes plasticas la; j : 1342. Sim : 0.10633523; No similar. 
 bancorepublica patrocina estudios instituciones extranjeras profesionales afines artes plasticas d ; j : 1343. Sim : 0.12317499; No similar. 
 bancorepublica patrocina estudios instituciones extranjeras profesionales afines artes plasticas la; j : 1344. Sim : 0.10633523; No similar. 
 bancorepublica patrocina estudios instituciones extranjeras profesionales afines artes plasticas d ; j : 1345. Sim : 0.12317499; No similar. 
 top 3 impacto economicoventas vivienda nueva eeuu superaron estimacionesinventarios petroleo labelu; j : 1346. Sim : 0.2656926; No similar. 
 top3deimpactoeconomicon1 eeuu canada reanudaran conversaciones comercialesn2datos produccion ventas; j : 1347. Sim : 0.48447314; No similar. 
 blaa conversamos juez sudafricano richard goldstone sejep justicia transicion labelurl  ; j : 1348. Sim : 0.38512975; No similar. 
 informe diario mayo 5 2016 peticiones subsidio desempleo eeuu aumentan labelurl  ; j : 1349. Sim : 0.5568475; Baja. 
 informe diario febrero 9 2017 peticiones subsidios desempleo alcanzan minimonlabelurl  ; j : 1350. Sim : 0.426642; No similar. 
 eventosclavedelajornadademananan eeuu 830 peticiones desempleon china 2100 produccion industrial la; j : 1351. Sim : 0.2709975; No similar. 
 eventosclavedelajornadademananan eeuu 830 peticiones iniciales desempleon eeuu 1030 inventarios lab; j : 1352. Sim : 0.33745128; No similar. 
 univallecol joseantonioocampo afirma sintomas reactivacion inflacion toco fondo ajuste labelurl  ; j : 1353. Sim : 0.41211182; No similar. 
 andrespardoa colombia minutas bancorepublica junta cree inflacion acelerado mas esperado  ; j : 1354. Sim : 0.5358232; Baja. 
 informesobreinflacion medidas inflacion basica encuentran dentro rango 24 expectativas labelurl  ; j : 1355. Sim : 0.4223981; No similar. 
 informe diario enero 5 2017 espera estabilidad generacion empleo eeuunlabelurl  ; j : 1356. Sim : 0.4787078; No similar. 
 angelaquilopez bancorepublica laboran profesionales egresados universidades publicas privadas dif l; j : 1357. Sim : 0.2001115; No similar. 
 estadisticas meta inflacion inflacion basica actualizado 07112017 1200 pm labelurl labelurl  ; j : 1358. Sim : 0.48127982; No similar. 
 siete actividades presento crecimiento encima promedio economia actividad finan labelurl  ; j : 1359. Sim : 0.372797; No similar. 
 andrespardoa dilema argentina fallo corte suprema eeuu labelurl via ft  ; j : 1360. Sim : 0.427457; No similar. 
 comparsas talco cosmetico negro caracterizan carnaval negrosyblancos2019 ndescubre viv labelurl  ; j : 1361. Sim : 0.07265483; No similar. 
 informe diario agosto 21 2018 minhacienda replanteara prioridades pgnnlabelurl  ; j : 1362. Sim : 0.3452077; No similar. 
 eventosclavedelajornadademananan eeuu 830 reporte empleo novneeuu 1000 confianza consumi labelurl  ; j : 1363. Sim : 0.40174916; No similar. 
 informe diario noviembre 2 2016 feed prepara alza tasas diciembre labelurl  ; j : 1364. Sim : 0.33521447; No similar. 
 banrepcultural blaanconversamos juez sudafricano richard goldstone justicia transicion lapazsetomal; j : 1365. Sim : 0.3065116; No similar. 
 andrespardoa minutas reunion junta directiva bancorepublica 29 agosto 2014 labelurl  ; j : 1366. Sim : 0.35369834; No similar. 
 luego informe senalaba gobierno italianoestaria dispuesto disminuir gasto deficitar labelurl  ; j : 1367. Sim : 0.3855858; No similar. 
 informe inflacion diciembre 15 2016 correcciones siguen faltan nlabelurl  ; j : 1368. Sim : 0.3949968; No similar. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 carga financiera l; j : 1369. Sim : 0.19206837; No similar. 
 factor explican comportamiento favorable precios consumidor seria amplia of labelurl  ; j : 1370. Sim : 0.13045482; No similar. 
 crecimiento maiguashca afirma demanda externa recuperado crecen exportaciones tradi labelurl  ; j : 1371. Sim : 0.2676247; No similar. 
 bvccolombia aestahora acciones suben bvccolombia nncemexcolombia 442ncorficolombiana 125necopetrols; j : 1372. Sim : 0.28824788; No similar. 
 andrespardoa plan bancocentral eurozonapor nouriel labelurl via prosyn nosotrosroubini espera m  ; j : 1373. Sim : 0.002721399; No similar. 
 bvccolombia aestahora acciones suben bvccolombia nnconconcreto 377ncnec 171ncorficolombiana 112 lab; j : 1374. Sim : 0.2183196; No similar. 
 publicacion dtseru 262 jaimebonet gerson javier perez valbuena financiamientopublicolocal labelurl ; j : 1375. Sim : 0.42131278; No similar. 
 bvccolombia aestahora acciones suben bvccolombia nnconconcreto 377ncnec 171ncorficolombiana 112 lab; j : 1376. Sim : 0.2183196; No similar. 
 bvccolombia aestahora acciones suben bvccolombia nncemexcolombia 442ncorficolombiana 125necopetrols; j : 1377. Sim : 0.28824788; No similar. 
 estadisticas meta inflacion inflacion basica actualizado 06102017 1225 pm labelurl labelurl  ; j : 1378. Sim : 0.4809011; No similar. 
 informe semanal septiembre 12 2016 avance regulacion financiera nlabelurl  ; j : 1379. Sim : 0.30681762; No similar. 
 incremento percepcion riesgo economias emergentes sugiere condiciones financieras mas restricti lab; j : 1380. Sim : 0.2903727; No similar. 
 andrespardoa ultimo mes aumentaron riesgos alza pesan inflacion bancorepublica  ; j : 1381. Sim : 0.4802288; No similar. 
 cuanto mercado laboral presentaron cambios importancia tasa desempleo primeros labelurl  ; j : 1382. Sim : 0.21299815; No similar. 
 junta directiva minutas reunion jdbr brc 24 noviembre 2017 labelurl  ; j : 1383. Sim : 0.41129383; No similar. 
 informealcongreso bancorepublica muestra ajuste deficit cuenta corriente paso 64 labelurl  ; j : 1384. Sim : 0.23842593; No similar. 
 junta directiva minutas reunion jdbr brc 29 septiembre 2017 labelurl  ; j : 1385. Sim : 0.36143073; No similar. 
 junta directiva minutas reunion jdbr brc 29 enero 2018 labelurl  ; j : 1386. Sim : 0.33649904; No similar. 
 junta directiva minutas reunion jdbr brc 27 octubre 2017 labelurl  ; j : 1387. Sim : 0.41094574; No similar. 
 junta directiva minutas reunion jdbr brc 14 diciembre 2017 labelurl  ; j : 1388. Sim : 0.40737867; No similar. 
 bandrespardoa colombia manito irak precio dolar labelurl via eltiempo comentarios  ; j : 1389. Sim : 0.5260999; Baja. 
 proyecto articulo regulacion cambiaria tasa cambio intermediarios fecha limite p labelurl  ; j : 1390. Sim : 0.41092375; No similar. 
 informe diario noviembre 21 2016 petroleo inicio semana incremento 4 labelurl  ; j : 1391. Sim : 0.33730772; No similar. 
 reportesdelemisor region noroccidente mejor dinamica 2t2018 antioquia ventas comercio labelurl  ; j : 1392. Sim : 0.32890448; No similar. 
 informe diario octubre 20 2016 gobierno radica reforma tributarianlabelurl  ; j : 1393. Sim : 0.35021776; No similar. 
 informe diario febrero 5 2014 mercados expectativa reunion manana bce labelurl  ; j : 1394. Sim : 0.5479584; Baja. 
 investigacionesbanrep borrador economia 1050 analiza rol distancia lugares produc labelurl  ; j : 1395. Sim : 0.2219378; No similar. 
 maiguashca serfinansacol sintomas factor inerciales inflacion ido disipandonla inflacion c labelurl; j : 1396. Sim : 0.49467167; No similar. 
 publicaciones reportesdelemisor 220 mapeo iniciativas educacion economica financiera colombia label; j : 1397. Sim : 0.4804274; No similar. 
 eventosclavedelajornadanzona euro 400 tasa desempleo 2tnalemania 400 confianza inversionist labelur; j : 1398. Sim : 0.2784257; No similar. 
 reportesdelemisor reporte mercado laboral 8 diciembre 2018 presenta empleo asalar labelurl  ; j : 1399. Sim : 0.29545695; No similar. 
 informe anual corficolombiana diciembre 3 2014 proyecciones 2015 historia fin labelurl  ; j : 1400. Sim : 0.28463465; No similar. 
 informe anual corficolombiana diciembre 3 2014 proyecciones 2015 historia fin labelurl labelurl  ; j : 1401. Sim : 0.26423118; No similar. 
 informe diario junio 8 2016 datos encuesta jolt eeuu mixtos labelurl  ; j : 1402. Sim : 0.4672045; No similar. 
 segun departamento comercio unidos ventas minoristas aumentaron linea esperado l labelurl  ; j : 1403. Sim : 0.28638375; No similar. 
 informe diario noviembre 3 2016 decisiones monetarias brexit reino unidonlabelurl  ; j : 1404. Sim : 0.3531156; No similar. 
 informesobreinflacion relacion nueva canasta danecolombia considero inflacion sera mas estab labelu; j : 1405. Sim : 0.46507195; No similar. 
 uranrigoberto conversatorio creoenmi aseguro cada objetivo trazo acompano peque labelurl  ; j : 1406. Sim : 0.30268857; No similar. 
 bancorepublica publico comentarios proyecto regulacion pr dodm005 metodologia calculo l labelurl  ; j : 1407. Sim : 0.37283123; No similar. 
 top 3 impacto economicoimportaciones colombia aumentaron eneroeeuu abandono propuesta contenido lab; j : 1408. Sim : 0.22933245; No similar. 
 bancorepublica publica comentarios proyecto articulo regulacion cambiaria tasa cambio l labelurl  ; j : 1409. Sim : 0.44365826; No similar. 
 eventosclavedelajornadademananan eeuu 830 peticiones iniciales desempleon japon 2230 produccion i l; j : 1410. Sim : 0.31191015; No similar. 
 sinedian respetenlosacuerdos diancolombia minhacienda complices dafpcolombia ratifican engano traba; j : 1411. Sim : 0.32538295; No similar. 
 seminario fedesarrollo adolfomeisel senala 1920 1990 presento aumento sustancial labelurl  ; j : 1412. Sim : 0.3084352; No similar. 
 mercado local presento movimientos postivos economia colombiana conozcalos aqui  ; j : 1413. Sim : 0.31367186; No similar. 
 gustavo yacaman consiguio nuevo podio paul ricard labelurl via eluniversalctg  ; j : 1414. Sim : 0.23286042; No similar. 
 marco renegociacion tlcan hoy reanudaran conversaciones eeuu canada fin labelurl  ; j : 1415. Sim : 0.34658656; No similar. 
 eventosclavedelajornadaneeuu 0730 datos mercado laboralagonzona euro 400 capacidad instaladaago lab; j : 1416. Sim : 0.16592595; No similar. 
 analisisfundam importante cuenta reunion junta directiva banrep febrero 23 labelurl  ; j : 1417. Sim : 0.19188881; No similar. 
 bancorepublica ofrece patrocinio profesionales colombianos deseen estudiar posgrado exterior labelu; j : 1418. Sim : 0.06805988; No similar. 
 100 recicladores alcaldiadesopo veran beneficiados actividad reciclaje meta recoger labelurl  ; j : 1419. Sim : 0.11869534; No similar. 
 15 septiembre foro corficolombiana perspectiva economica crediticia colombia transmision labelurl  ; j : 1420. Sim : 0.47915024; No similar. 
 libro salud colombia perspectiva regional concluye aunque mejoras indicador labelurl  ; j : 1421. Sim : 0.4274192; No similar. 
 eventosclavedelajornadademanananeeuu 0845 indicador pmi servicios manufactura octnzona euro 03 labe; j : 1422. Sim : 0.14711851; No similar. 
 delegado75 respetado ahora realizado tres seminarios evaluando periodicidad adecuada labelurl  ; j : 1423. Sim : -0.020313311; No similar. 
 cuanto situacion externa informealcongreso revela existen riesgos relacionados implementacion label; j : 1424. Sim : 0.3416181; No similar. 
 mes mayo rentabilidad portafolios pension voluntarias porvenir vieron beneficiad labelurl  ; j : 1425. Sim : 0.264526; No similar. 
 carrillonavasg superfinanciera stepha18 mahomiescol ferlofranco991 aleinadyo joselohr83 kimrivasp i; j : 1426. Sim : 0.029691184; No similar. 
